name,2017,2018,2019,2020,2021,2022
Silvicultura\Resina\Quantidade Produzida\ (t),-,-,-,-,-,-
Silvicultura\Madeira em Tora\Outras Finalidades\Quantidade Produzida\ (m³),926,3900,3900,3900,3900,-
Silvicultura\Madeira em Tora\Outras Finalidades\Pinus\Quantidade Produzida\ (m³),-,-,-,-,-,-
Silvicultura\Madeira em Tora\Outras Finalidades\Outras Espécies\Quantidade Produzida\ (m³),-,-,-,-,-,-
Silvicultura\Madeira em Tora\Outras Finalidades\Eucalipto\Quantidade Produzida\ (m³),926,3900,3900,3900,3900,-
Silvicultura\Madeira em Tora\Quantidade Produzida\ (m³),16062,3900,3900,3900,3900,-
Silvicultura\Lenha\Quantidade Produzida\ (m³),136078,40000,40000,40000,47337,56515
Silvicultura\Lenha\Outras Espécies\Quantidade Produzida\ (m³),18928,-,-,-,7337,16515
Silvicultura\Lenha\Eucalipto\Quantidade Produzida\ (m³),117150,40000,40000,40000,40000,40000
Silvicultura\Eucalipto [folha]\Quantidade Produzida\ (t),-,-,-,-,-,-
Silvicultura\Carvão Vegetal\Quantidade Produzida\ (t),103,-,-,-,-,-
Silvicultura\Carvão Vegetal\Outras Espécies\Quantidade Produzida\ (t),103,-,-,-,-,-
Silvicultura\Carvão Vegetal\Eucalipto\Quantidade Produzida\ (t),-,-,-,-,-,-
Pecuária\Produção de Origem Animal\Vacas Ordenhadas\ (cabeças),4875.0,5455.0,5040.0,5040.0,4900.0,4850
Pecuária\Produção de Origem Animal\Ovinos Tosquiados\ (cabeças),3907,1597,1452,1512,1530,3600
Pecuária\Produção de Origem Animal\Ovos de Codorna\Quantidade Produzida\ (mil dúzias),1,4,4,4,4,4
Pecuária\Produção de Origem Animal\Mel de Abelha\Quantidade Produzida\ (kg),20331,10849,64400,64440,65000,75500
Pecuária\Produção de Origem Animal\Leite\Quantidade Produzida\ (mil litros),19456.0,20091.0,19077.0,20382.0,19644.0,19873
Pecuária\Produção de Origem Animal\Lã\Quantidade Produzida\ (kg),11721,5071,4358,4537,4600,10800
Pecuária\Efetivo dos Rebanhos\Suínos\ (cabeças),3972.0,3280.0,3195.0,3203.0,3492.0,3479
Pecuária\Efetivo dos Rebanhos\Ovinos\ (cabeças),4884,3926,3632,3781,3806,4490
Pecuária\Efetivo dos Rebanhos\Galináceos - total\ (cabeças),41586.0,164267.0,216536.0,195541,159894,160000
Pecuária\Efetivo dos Rebanhos\Galináceos - galinhas\ (cabeças),18714,120000,160000.0,130000,90000,120000
Pecuária\Efetivo dos Rebanhos\Eqüinos\ (cabeças),6507.0,5649.0,5166.0,5151.0,4835.0,4532.0
Pecuária\Efetivo dos Rebanhos\Codornas\ (cabeças),57,329,329,329,329,300
Pecuária\Efetivo dos Rebanhos\Caprinos\ (cabeças),446,446,426,432,313,218
Pecuária\Efetivo dos Rebanhos\Bubalinos\ (cabeças),785,772,788,791,782,728
Pecuária\Efetivo dos Rebanhos\Bovinos\ (cabeças),50796.0,48284.0,49235.0,41996.0,43113.0,46855.0
